food_code,serving_size_str,serving_size_unit,serving_size_value,product_weight_str,product_weight_unit,product_weight_value
D202-100000000-0023,100g,g,100.0,195g,g,195.0
D202-100000000-0024,100g,g,100.0,390g,g,390.0
D202-100000000-0025,100g,g,100.0,155g,g,155.0
D202-100000000-0026,100g,g,100.0,270g,g,270.0
D202-100000000-0027,100g,g,100.0,360g,g,360.0
D202-100000000-0028,100g,g,100.0,445g,g,445.0
D202-100000000-0029,100g,g,100.0,100g,g,100.0
D202-100000000-0030,100g,g,100.0,376g,g,376.0
D202-100000000-0031,100g,g,100.0,320g,g,320.0
D202-100000000-0032,100g,g,100.0,530g,g,530.0
D202-100000000-0033,100g,g,100.0,410g,g,410.0
D202-100000000-0034,100g,g,100.0,255g,g,255.0
D202-100000000-0035,100g,g,100.0,510g,g,510.0
D202-100000000-0036,100g,g,100.0,200g,g,200.0
D202-100000000-0037,100g,g,100.0,240g,g,240.0
D202-100000000-0038,100g,g,100.0,225g,g,225.0
D202-100000000-0039,100g,g,100.0,110g,g,110.0
D202-100000000-0040,100g,g,100.0,450g,g,450.0
D202-100000000-0041,100g,g,100.0,430g,g,430.0
D202-100000000-0042,100g,g,100.0,300g,g,300.0
D202-100000000-0043,100g,g,100.0,318g,g,318.0
D202-100000000-0044,100g,g,100.0,376g,g,376.0
D202-100000000-0045,100g,g,100.0,100g,g,100.0
D202-100000000-0046,100g,g,100.0,170g,g,170.0
D202-100000000-0047,100g,g,100.0,375g,g,375.0
D202-100000000-0048,100g,g,100.0,405g,g,405.0
D202-100000000-0049,100g,g,100.0,390g,g,390.0
D202-100000000-0050,100g,g,100.0,195g,g,195.0
D202-100000000-0051,100g,g,100.0,277g,g,277.0
D202-100000000-0052,100g,g,100.0,210g,g,210.0
D202-100000000-0053,100g,g,100.0,320g,g,320.0
D202-100000000-0054,100g,g,100.0,160g,g,160.0
D202-100000000-0055,100g,g,100.0,382g,g,382.0
D202-100000000-0056,100g,g,100.0,134g,g,134.0
D202-100000000-0057,100g,g,100.0,435g,g,435.0
D202-100000000-0058,100g,g,100.0,550g,g,550.0
D202-100000000-0059,100g,g,100.0,20g,g,20.0
D202-100000000-0060,100g,g,100.0,580g,g,580.0
D202-100000000-0061,100g,g,100.0,285g,g,285.0
D202-100000000-0062,100g,g,100.0,370g,g,370.0
D202-100000000-0063,100g,g,100.0,211g,g,211.0
D202-100000000-0064,100g,g,100.0,470g,g,470.0
D202-100000000-0065,100g,g,100.0,405g,g,405.0
D202-100000000-0066,100g,g,100.0,216g,g,216.0
D202-100000000-0067,100g,g,100.0,160g,g,160.0
D202-100000000-0068,100g,g,100.0,245g,g,245.0
D202-100000000-0069,100g,g,100.0,489g,g,489.0
D202-100000000-0070,100g,g,100.0,430g,g,430.0
D202-100000000-0071,100g,g,100.0,210g,g,210.0
D202-100000000-0072,100g,g,100.0,280g,g,280.0
D202-101000000-0001,100g,g,100.0,95g,g,95.0
D202-101000000-0002,100g,g,100.0,353g,g,353.0
D202-101000000-0003,100g,g,100.0,60g,g,60.0
D202-101000000-0004,100g,g,100.0,60g,g,60.0
D202-101000000-0005,100g,g,100.0,150g,g,150.0
D202-101000000-0006,100g,g,100.0,80g,g,80.0
D202-101000000-0007,100g,g,100.0,100g,g,100.0
D202-101000000-0008,100g,g,100.0,139g,g,139.0
D202-101000000-0009,100g,g,100.0,328g,g,328.0
D514-645260000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-645261200-0001,100ml,ml,100.0,50ml,ml,50.0
D514-645262700-0001,100ml,ml,100.0,60ml,ml,60.0
D514-645410000-0001,100ml,ml,100.0,40ml,ml,40.0
D514-646000000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-647000000-0001,100ml,ml,100.0,70.4m,m,70.4
D514-647320000-0001,100ml,ml,100.0,80ml,ml,80.0
D514-647480000-0001,100ml,ml,100.0,49.7m,m,49.7
D514-648000000-0001,100ml,ml,100.0,14.6m,m,14.6
D514-649000000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-649420000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-650000000-0001,100ml,ml,100.0,60ml,ml,60.0
D514-650000000-0002,100ml,ml,100.0,60ml,ml,60.0
D514-651000000-0001,100ml,ml,100.0,32.4m,m,32.4
D514-652000000-0001,100ml,ml,100.0,72.1m,m,72.1
D514-655470000-0001,100ml,ml,100.0,39.9m,m,39.9
D514-656000000-0001,100ml,ml,100.0,35.2m,m,35.2
D514-657000000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-619260000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-619290000-0001,100ml,ml,100.0,40ml,ml,40.0
D514-620000000-0001,100ml,ml,100.0,100ml,ml,100.0
D514-620320000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-624000000-0001,100ml,ml,100.0,40.6m,m,40.6
D514-626000000-0001,100ml,ml,100.0,34.6m,m,34.6
D514-627000000-0001,100ml,ml,100.0,40ml,ml,40.0
D514-627210000-0001,100ml,ml,100.0,40ml,ml,40.0
D514-627510000-0001,100ml,ml,100.0,40ml,ml,40.0
D514-631410000-0001,100ml,ml,100.0,100ml,ml,100.0
D514-634000000-0001,100ml,ml,100.0,56.9m,m,56.9
D514-637000000-0001,100ml,ml,100.0,35.6m,m,35.6
D514-639000000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-639000000-0002,100ml,ml,100.0,50ml,ml,50.0
D514-644000000-0001,100ml,ml,100.0,46.6m,m,46.6
D514-644240000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-644430000-0001,100ml,ml,100.0,50ml,ml,50.0
D514-645140000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-614050000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-614170000-0001,100ml,ml,100.0,47.9m,m,47.9
D513-615000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-615030000-0001,100ml,ml,100.0,45ml,ml,45.0
D513-615060000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-617000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-619000000-0001,100ml,ml,100.0,40.2m,m,40.2
D513-621000000-0001,100ml,ml,100.0,55.8m,m,55.8
D514-603000000-0001,100ml,ml,100.0,100ml,ml,100.0
D514-607000000-0001,100ml,ml,100.0,47.2m,m,47.2
D514-607320000-0001,100ml,ml,100.0,70ml,ml,70.0
D514-607323300-0001,100ml,ml,100.0,100ml,ml,100.0
D514-608000000-0001,100ml,ml,100.0,110ml,ml,110.0
D514-613000000-0001,100ml,ml,100.0,46.5m,m,46.5
D514-615000000-0001,100ml,ml,100.0,30.9m,m,30.9
D514-616000000-0001,100ml,ml,100.0,30ml,ml,30.0
D514-618000000-0001,100ml,ml,100.0,42.8m,m,42.8
D514-619000000-0001,100ml,ml,100.0,41.6m,m,41.6
D513-597090600-0001,100ml,ml,100.0,80ml,ml,80.0
D513-597100000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-597110000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-597116400-0001,100ml,ml,100.0,50ml,ml,50.0
D513-597160000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-597170000-0001,100ml,ml,100.0,40ml,ml,40.0
D513-597180000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-599060000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-601000000-0001,100ml,ml,100.0,79.7m,m,79.7
D513-602000000-0001,100ml,ml,100.0,34.6m,m,34.6
D513-603000000-0001,100ml,ml,100.0,45.9m,m,45.9
D513-605000000-0001,100ml,ml,100.0,101.1ml,ml,101.1
D513-606170000-0001,100ml,ml,100.0,44.1m,m,44.1
D513-607050000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-608000000-0001,100ml,ml,100.0,53.3m,m,53.3
D513-613000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-614000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-614010000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-584070000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-584074300-0001,100ml,ml,100.0,60ml,ml,60.0
D513-584150000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-585000000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-586000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-586010000-0001,100ml,ml,100.0,35.6m,m,35.6
D513-586013200-0001,100ml,ml,100.0,50ml,ml,50.0
D513-586020000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-587000000-0001,100ml,ml,100.0,44.1m,m,44.1
D513-590010000-0001,100ml,ml,100.0,42.4m,m,42.4
D513-590050000-0001,100ml,ml,100.0,40ml,ml,40.0
D513-592000000-0001,100ml,ml,100.0,36.4m,m,36.4
D513-593000000-0001,100ml,ml,100.0,70ml,ml,70.0
D513-595013200-0001,100ml,ml,100.0,80ml,ml,80.0
D513-595050000-0001,100ml,ml,100.0,80ml,ml,80.0
D513-596000000-0001,100ml,ml,100.0,80ml,ml,80.0
D513-596010000-0001,100ml,ml,100.0,80ml,ml,80.0
D513-597030000-0001,100ml,ml,100.0,80ml,ml,80.0
D512-608000000-0001,100ml,ml,100.0,52.1m,m,52.1
D512-609000000-0001,100ml,ml,100.0,41.7m,m,41.7
D512-610000000-0001,100ml,ml,100.0,70.9m,m,70.9
D512-611000000-0001,100ml,ml,100.0,83.1m,m,83.1
D512-613000000-0001,100ml,ml,100.0,73ml,ml,73.0
D512-615000000-0001,100ml,ml,100.0,67.2m,m,67.2
D512-617000000-0001,100ml,ml,100.0,67.8m,m,67.8
D512-618000000-0001,100ml,ml,100.0,41.5m,m,41.5
D513-567000000-0001,100ml,ml,100.0,40ml,ml,40.0
D513-568000000-0001,100ml,ml,100.0,46.6m,m,46.6
D513-568030000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-568120000-0001,100ml,ml,100.0,60ml,ml,60.0
D513-571000000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-571040000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-579020000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-581000000-0001,100ml,ml,100.0,48.2m,m,48.2
D513-581050000-0001,100ml,ml,100.0,50ml,ml,50.0
D513-584000000-0001,100ml,ml,100.0,40ml,ml,40.0
D512-559000000-0001,100ml,ml,100.0,68ml,ml,68.0
D512-566000000-0001,100ml,ml,100.0,108.6ml,ml,108.6
D512-570000000-0001,100ml,ml,100.0,65ml,ml,65.0
D512-571000000-0001,100ml,ml,100.0,77ml,ml,77.0
D512-573000000-0001,100ml,ml,100.0,56.9m,m,56.9
D512-581000000-0001,100ml,ml,100.0,75.3m,m,75.3
D512-582000000-0001,100ml,ml,100.0,32.8m,m,32.8
D512-585000000-0001,100ml,ml,100.0,32.8m,m,32.8
D512-587000000-0001,100ml,ml,100.0,80.7m,m,80.7
D512-590000000-0001,100ml,ml,100.0,42.8m,m,42.8
D512-594000000-0001,100ml,ml,100.0,76.2m,m,76.2
D512-596000000-0001,100ml,ml,100.0,100.4ml,ml,100.4
D512-597000000-0001,100ml,ml,100.0,85.4m,m,85.4
D512-598000000-0001,100ml,ml,100.0,108.9ml,ml,108.9
D512-599000000-0001,100ml,ml,100.0,10.2m,m,10.2
D512-602000000-0001,100ml,ml,100.0,83.1m,m,83.1
D512-604000000-0001,100ml,ml,100.0,46.6m,m,46.6
D512-605000000-0001,100ml,ml,100.0,41.7m,m,41.7
D511-557000000-0001,100ml,ml,100.0,161.7ml,ml,161.7
D511-558000000-0001,100ml,ml,100.0,56.6m,m,56.6
D511-558040000-0001,100ml,ml,100.0,50ml,ml,50.0
D511-561000000-0001,100ml,ml,100.0,109.2ml,ml,109.2
D511-563000000-0001,100ml,ml,100.0,56ml,ml,56.0
D511-566000000-0001,100ml,ml,100.0,95ml,ml,95.0
D512-537000000-0001,100ml,ml,100.0,81.8m,m,81.8
D512-538000000-0001,100ml,ml,100.0,120ml,ml,120.0
D512-539000000-0001,100ml,ml,100.0,80ml,ml,80.0
D512-541000000-0001,100ml,ml,100.0,100ml,ml,100.0
D512-546000000-0001,100ml,ml,100.0,22.1m,m,22.1
D512-549000000-0001,100ml,ml,100.0,80ml,ml,80.0
D512-549160000-0001,100ml,ml,100.0,80ml,ml,80.0
D512-550000000-0001,100ml,ml,100.0,100ml,ml,100.0
D512-551130000-0001,100ml,ml,100.0,90ml,ml,90.0
D512-552000000-0001,100ml,ml,100.0,103.1ml,ml,103.1
D512-553000000-0001,100ml,ml,100.0,67.1m,m,67.1
D512-558000000-0001,100ml,ml,100.0,26.7m,m,26.7
D511-529000000-0001,100ml,ml,100.0,123.7ml,ml,123.7
D511-531000000-0001,100ml,ml,100.0,40ml,ml,40.0
D511-532031900-0001,100ml,ml,100.0,100ml,ml,100.0
D511-534000000-0001,100ml,ml,100.0,50ml,ml,50.0
D511-535000000-0001,100ml,ml,100.0,50ml,ml,50.0
D511-535060000-0001,100ml,ml,100.0,200ml,ml,200.0
D511-540000000-0001,100ml,ml,100.0,89.4m,m,89.4
D511-541000000-0001,100ml,ml,100.0,95.8m,m,95.8
D511-542000000-0001,100ml,ml,100.0,87.7m,m,87.7
D511-545000000-0001,100ml,ml,100.0,65.4m,m,65.4
D511-546000000-0001,100ml,ml,100.0,80.4m,m,80.4
D511-548000000-0001,100ml,ml,100.0,60ml,ml,60.0
D511-548040000-0001,100ml,ml,100.0,60ml,ml,60.0
D511-550000000-0001,100ml,ml,100.0,46.1m,m,46.1
D511-551000000-0001,100ml,ml,100.0,100ml,ml,100.0
D511-552000000-0001,100ml,ml,100.0,28.6m,m,28.6
D511-553000000-0001,100ml,ml,100.0,61.5m,m,61.5
D511-556000000-0001,100ml,ml,100.0,65.5m,m,65.5
D511-508000000-0001,100ml,ml,100.0,60ml,ml,60.0
D511-509000000-0001,100ml,ml,100.0,85.4m,m,85.4
D511-509060000-0001,100ml,ml,100.0,95ml,ml,95.0
D511-509070000-0001,100ml,ml,100.0,110ml,ml,110.0
D511-511000000-0001,100ml,ml,100.0,78.7m,m,78.7
D511-512000000-0001,100ml,ml,100.0,79.7m,m,79.7
D511-513000000-0001,100ml,ml,100.0,237.3ml,ml,237.3
D511-515000000-0001,100ml,ml,100.0,120ml,ml,120.0
D511-516000000-0001,100ml,ml,100.0,61.8m,m,61.8
D511-517000000-0001,100ml,ml,100.0,60ml,ml,60.0
D511-517030000-0001,100ml,ml,100.0,74.8m,m,74.8
D511-518000000-0001,100ml,ml,100.0,15ml,ml,15.0
D511-519000000-0001,100ml,ml,100.0,60ml,ml,60.0
D511-520000000-0001,100ml,ml,100.0,65.8m,m,65.8
D511-521000000-0001,100ml,ml,100.0,72.8m,m,72.8
D511-525000000-0001,100ml,ml,100.0,62.6m,m,62.6
D511-527000000-0001,100ml,ml,100.0,52.4m,m,52.4
D511-528000000-0001,100ml,ml,100.0,60ml,ml,60.0
D510-514000000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-517000000-0001,100ml,ml,100.0,86.5m,m,86.5
D510-518000000-0001,100ml,ml,100.0,50ml,ml,50.0
D510-519000000-0001,100ml,ml,100.0,110ml,ml,110.0
D510-521000000-0001,100ml,ml,100.0,65.5m,m,65.5
D510-523000000-0001,100ml,ml,100.0,88.6m,m,88.6
D510-524000000-0001,100ml,ml,100.0,66.4m,m,66.4
D510-525270000-0001,100ml,ml,100.0,82.7m,m,82.7
D510-526000000-0001,100ml,ml,100.0,41.1m,m,41.1
D510-527000000-0001,100ml,ml,100.0,99.6m,m,99.6
D510-528000000-0001,100ml,ml,100.0,80.9m,m,80.9
D510-529000000-0001,100ml,ml,100.0,70ml,ml,70.0
D510-529320000-0001,100ml,ml,100.0,110ml,ml,110.0
D510-529480000-0001,100ml,ml,100.0,110ml,ml,110.0
D510-530000000-0001,100ml,ml,100.0,79ml,ml,79.0
D510-531000000-0001,100ml,ml,100.0,99ml,ml,99.0
D510-532000000-0001,100ml,ml,100.0,42.9m,m,42.9
D511-506000000-0001,100ml,ml,100.0,67ml,ml,67.0
D510-491000000-0001,100ml,ml,100.0,42ml,ml,42.0
D510-491020500-0001,100ml,ml,100.0,110ml,ml,110.0
D510-491070000-0001,100ml,ml,100.0,50ml,ml,50.0
D510-491090000-0001,100ml,ml,100.0,35ml,ml,35.0
D510-491130000-0001,100ml,ml,100.0,40ml,ml,40.0
D510-491300300-0001,100ml,ml,100.0,50ml,ml,50.0
D510-491300900-0001,100ml,ml,100.0,40ml,ml,40.0
D510-491360000-0001,100ml,ml,100.0,110ml,ml,110.0
D510-492160000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-492253100-0001,100ml,ml,100.0,97.6m,m,97.6
D510-492270000-0001,100ml,ml,100.0,90ml,ml,90.0
D510-498000000-0001,100ml,ml,100.0,50.7m,m,50.7
D510-500000000-0001,100ml,ml,100.0,110ml,ml,110.0
D510-502000000-0001,100ml,ml,100.0,136.3ml,ml,136.3
D510-504000000-0001,100ml,ml,100.0,34.9m,m,34.9
D510-506000000-0001,100ml,ml,100.0,50ml,ml,50.0
D510-511000000-0001,100ml,ml,100.0,170ml,ml,170.0
D510-513000000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-475000000-0001,100ml,ml,100.0,30ml,ml,30.0
D510-478450000-0001,100ml,ml,100.0,89.9m,m,89.9
D510-481000000-0001,100ml,ml,100.0,94.2m,m,94.2
D510-481090000-0001,100ml,ml,100.0,92.9m,m,92.9
D510-481250000-0001,100ml,ml,100.0,180ml,ml,180.0
D510-481320000-0001,100ml,ml,100.0,180ml,ml,180.0
D510-482000000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-482320000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-483000000-0001,100ml,ml,100.0,130ml,ml,130.0
D510-483320000-0001,100ml,ml,100.0,130ml,ml,130.0
D510-484000000-0001,100ml,ml,100.0,49.4m,m,49.4
D510-486000000-0001,100ml,ml,100.0,53.3m,m,53.3
D510-486294300-0001,100ml,ml,100.0,100ml,ml,100.0
D510-486320000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-488000000-0001,100ml,ml,100.0,130ml,ml,130.0
D510-488320000-0001,100ml,ml,100.0,130ml,ml,130.0
D510-489000000-0001,100ml,ml,100.0,70ml,ml,70.0
D510-490000000-0001,100ml,ml,100.0,136.3ml,ml,136.3
D510-464162400-0001,100ml,ml,100.0,110ml,ml,110.0
D510-464163800-0001,100ml,ml,100.0,110ml,ml,110.0
D510-464164300-0001,100ml,ml,100.0,110ml,ml,110.0
D510-464490000-0001,100ml,ml,100.0,79.9m,m,79.9
D510-464510000-0001,100ml,ml,100.0,55ml,ml,55.0
D510-466000000-0001,100ml,ml,100.0,91.8m,m,91.8
D510-467020000-0001,100ml,ml,100.0,80ml,ml,80.0
D510-467093600-0001,100ml,ml,100.0,100ml,ml,100.0
D510-467270000-0001,100ml,ml,100.0,114.5ml,ml,114.5
D510-467430000-0001,100ml,ml,100.0,70ml,ml,70.0
D510-469000000-0001,100ml,ml,100.0,70.5m,m,70.5
D510-469020000-0001,100ml,ml,100.0,100ml,ml,100.0
D510-469050000-0001,100ml,ml,100.0,60ml,ml,60.0
D510-469300000-0001,100ml,ml,100.0,70.5m,m,70.5
D510-469390000-0001,100ml,ml,100.0,50ml,ml,50.0
D510-470000000-0001,100ml,ml,100.0,98.6m,m,98.6
D510-472000000-0001,100ml,ml,100.0,80ml,ml,80.0
D510-472070000-0001,100ml,ml,100.0,15ml,ml,15.0
D510-450300000-0001,100ml,ml,100.0,50.5m,m,50.5
D510-450320000-0001,100ml,ml,100.0,70ml,ml,70.0
D510-450470000-0001,100ml,ml,100.0,47.6m,m,47.6
D510-450520000-0001,100ml,ml,100.0,56.6m,m,56.6
D510-450524300-0001,100ml,ml,100.0,180ml,ml,180.0
D510-451000000-0001,100ml,ml,100.0,37.6m,m,37.6
D510-454000000-0001,100ml,ml,100.0,20ml,ml,20.0
D510-456000000-0001,100ml,ml,100.0,80ml,ml,80.0
D510-456160000-0001,100ml,ml,100.0,35.8m,m,35.8
D510-456310000-0001,100ml,ml,100.0,30.2m,m,30.2
D510-457000000-0001,100ml,ml,100.0,80.5m,m,80.5
D510-457320000-0001,100ml,ml,100.0,140ml,ml,140.0
D510-459000000-0001,100ml,ml,100.0,75.4m,m,75.4
D510-459144300-0001,100ml,ml,100.0,50ml,ml,50.0
D510-462000000-0001,100ml,ml,100.0,120ml,ml,120.0
D510-462200000-0001,100ml,ml,100.0,120ml,ml,120.0
D510-464110000-0001,100ml,ml,100.0,130ml,ml,130.0
D510-464162300-0001,100ml,ml,100.0,130ml,ml,130.0
D509-434000000-0001,100ml,ml,100.0,50ml,ml,50.0
D509-437000000-0001,100ml,ml,100.0,39.69ml,ml,39.69
D509-439000000-0001,100ml,ml,100.0,132.4ml,ml,132.4
D509-441110000-0001,100ml,ml,100.0,60ml,ml,60.0
D509-443000000-0001,100ml,ml,100.0,56.9m,m,56.9
D509-444000000-0001,100ml,ml,100.0,56.9m,m,56.9
D509-445000000-0001,100ml,ml,100.0,50ml,ml,50.0
D509-452000000-0001,100ml,ml,100.0,46.2m,m,46.2
D509-453000000-0001,100ml,ml,100.0,53.4m,m,53.4
D509-455000000-0001,100ml,ml,100.0,70.7m,m,70.7
D509-456000000-0001,100ml,ml,100.0,108.4ml,ml,108.4
D509-457000000-0001,100ml,ml,100.0,50.5m,m,50.5
D509-458000000-0001,100ml,ml,100.0,62.4m,m,62.4
D509-459000000-0001,100ml,ml,100.0,57.8m,m,57.8
D509-460000000-0001,100ml,ml,100.0,54.7m,m,54.7
D509-461000000-0001,100ml,ml,100.0,60ml,ml,60.0
D510-450000000-0001,100ml,ml,100.0,95ml,ml,95.0
D510-450032500-0001,100ml,ml,100.0,130ml,ml,130.0
D509-408000000-0001,100ml,ml,100.0,216.3ml,ml,216.3
D509-412000000-0001,100ml,ml,100.0,40ml,ml,40.0
D509-412110000-0001,100ml,ml,100.0,120ml,ml,120.0
D509-413000000-0001,100ml,ml,100.0,146.1ml,ml,146.1
D509-415000000-0001,100ml,ml,100.0,210ml,ml,210.0
D509-416000000-0001,100ml,ml,100.0,49.2m,m,49.2
D509-416090000-0001,100ml,ml,100.0,50ml,ml,50.0
D509-416125800-0001,100ml,ml,100.0,45.2m,m,45.2
D509-416150000-0001,100ml,ml,100.0,50ml,ml,50.0
D509-418000000-0001,100ml,ml,100.0,45.07ml,ml,45.07
D509-419000000-0001,100ml,ml,100.0,37.01ml,ml,37.01
D509-420000000-0001,100ml,ml,100.0,65.6m,m,65.6
D509-421000000-0001,100ml,ml,100.0,64.8m,m,64.8
D509-424000000-0001,100ml,ml,100.0,96.5m,m,96.5
D509-425000000-0001,100ml,ml,100.0,40ml,ml,40.0
D509-426000000-0001,100ml,ml,100.0,100ml,ml,100.0
D509-426110000-0001,100ml,ml,100.0,89.3m,m,89.3
D509-433000000-0001,100ml,ml,100.0,37.9m,m,37.9
D508-399000000-0001,100ml,ml,100.0,65ml,ml,65.0
D508-402000000-0001,100ml,ml,100.0,83.2m,m,83.2
D508-403000000-0001,100ml,ml,100.0,150.7ml,ml,150.7
D508-404000000-0001,100ml,ml,100.0,105.3ml,ml,105.3
D508-407000000-0001,100ml,ml,100.0,47.6m,m,47.6
D508-413000000-0001,100ml,ml,100.0,105ml,ml,105.0
D508-414000000-0001,100ml,ml,100.0,68.7m,m,68.7
D508-416000000-0001,100ml,ml,100.0,64ml,ml,64.0
D508-420000000-0001,100ml,ml,100.0,68.6m,m,68.6
D508-421000000-0001,100ml,ml,100.0,75.6m,m,75.6
D508-422000000-0001,100ml,ml,100.0,75.4m,m,75.4
D508-424000000-0001,100ml,ml,100.0,141.4ml,ml,141.4
D508-426000000-0001,100ml,ml,100.0,91.2m,m,91.2
D508-427000000-0001,100ml,ml,100.0,127.7ml,ml,127.7
D508-432000000-0001,100ml,ml,100.0,231.8ml,ml,231.8
D508-436000000-0001,100ml,ml,100.0,69ml,ml,69.0
D508-446000000-0001,100ml,ml,100.0,22.6m,m,22.6
D509-407000000-0001,100ml,ml,100.0,208.7ml,ml,208.7
D508-365000000-0001,100ml,ml,100.0,120ml,ml,120.0
D508-366000000-0001,100ml,ml,100.0,100ml,ml,100.0
D508-367000000-0001,100ml,ml,100.0,170ml,ml,170.0
D508-371000000-0001,100ml,ml,100.0,60.2m,m,60.2
D508-373000000-0001,100ml,ml,100.0,150ml,ml,150.0
D508-373010000-0001,100ml,ml,100.0,150ml,ml,150.0
D508-375010000-0001,100ml,ml,100.0,160ml,ml,160.0
D508-375020000-0001,100ml,ml,100.0,160ml,ml,160.0
D508-375070000-0001,100ml,ml,100.0,160ml,ml,160.0
D508-377000000-0001,100ml,ml,100.0,19.9m,m,19.9
D508-379000000-0001,100ml,ml,100.0,42ml,ml,42.0
D508-383000000-0001,100ml,ml,100.0,64.6m,m,64.6
D508-386000000-0001,100ml,ml,100.0,73.4m,m,73.4
D508-386070000-0001,100ml,ml,100.0,160ml,ml,160.0
D508-388000000-0001,100ml,ml,100.0,53.9m,m,53.9
D508-391000000-0001,100ml,ml,100.0,42.7m,m,42.7
D508-392000000-0001,100ml,ml,100.0,150ml,ml,150.0
D508-395000000-0001,100ml,ml,100.0,77.9m,m,77.9
D507-338000000-0001,100ml,ml,100.0,282ml,ml,282.0
D507-339000000-0001,100ml,ml,100.0,106.2ml,ml,106.2
D507-345000000-0001,100ml,ml,100.0,200ml,ml,200.0
D507-353000000-0001,100ml,ml,100.0,54.5m,m,54.5
D507-359000000-0001,100ml,ml,100.0,76ml,ml,76.0
D507-360000000-0001,100ml,ml,100.0,75.6m,m,75.6
D507-367000000-0001,100ml,ml,100.0,78.4m,m,78.4
D507-370000000-0001,100ml,ml,100.0,95.3m,m,95.3
D507-371000000-0001,100ml,ml,100.0,108.2ml,ml,108.2
D507-373000000-0001,100ml,ml,100.0,80ml,ml,80.0
D508-352000000-0001,100ml,ml,100.0,79.4m,m,79.4
D508-355000000-0001,100ml,ml,100.0,80ml,ml,80.0
D508-355030000-0001,100ml,ml,100.0,80ml,ml,80.0
D508-356000000-0001,100ml,ml,100.0,110ml,ml,110.0
D508-357000000-0001,100ml,ml,100.0,60ml,ml,60.0
D508-357030000-0001,100ml,ml,100.0,60ml,ml,60.0
D508-357240000-0001,100ml,ml,100.0,50ml,ml,50.0
D508-362040000-0001,100ml,ml,100.0,240ml,ml,240.0
D506-345000000-0001,100ml,ml,100.0,256.5ml,ml,256.5
D506-348000000-0001,100ml,ml,100.0,451.9ml,ml,451.9
D506-352000000-0001,100ml,ml,100.0,650ml,ml,650.0
D507-309060000-0001,100ml,ml,100.0,170ml,ml,170.0
D507-310000000-0001,100ml,ml,100.0,30ml,ml,30.0
D507-317000000-0001,100ml,ml,100.0,110ml,ml,110.0
D507-317050000-0001,100ml,ml,100.0,100ml,ml,100.0
D507-317070000-0001,100ml,ml,100.0,90ml,ml,90.0
D507-317120000-0001,100ml,ml,100.0,71.8m,m,71.8
D507-318000000-0001,100ml,ml,100.0,80ml,ml,80.0
D507-318020000-0001,100ml,ml,100.0,150ml,ml,150.0
D507-318080000-0001,100ml,ml,100.0,150ml,ml,150.0
D507-324000000-0001,100ml,ml,100.0,120ml,ml,120.0
D507-324084300-0001,100ml,ml,100.0,130ml,ml,130.0
D507-324210000-0001,100ml,ml,100.0,120ml,ml,120.0
D507-324211800-0001,100ml,ml,100.0,140ml,ml,140.0
D507-333000000-0001,100ml,ml,100.0,116.1ml,ml,116.1
D507-337000000-0001,100ml,ml,100.0,69.3m,m,69.3
D506-295000000-0001,100ml,ml,100.0,237ml,ml,237.0
D506-296000000-0001,100ml,ml,100.0,323.8ml,ml,323.8
D506-297140000-0001,100ml,ml,100.0,160ml,ml,160.0
D506-298000000-0001,100ml,ml,100.0,160ml,ml,160.0
