food_code,serving_size_str,serving_size_unit,serving_size_value,product_weight_str,product_weight_unit,product_weight_value
D315-670040000-0001,100g,g,100.0,100g,g,100.0
D315-671000000-0001,100g,g,100.0,100g,g,100.0
D315-673000000-0001,100g,g,100.0,100g,g,100.0
D315-674000000-0001,100g,g,100.0,100g,g,100.0
D315-675000000-0001,100g,g,100.0,100g,g,100.0
D315-676000000-0001,100g,g,100.0,100g,g,100.0
D315-677000000-0001,100g,g,100.0,50g,g,50.0
D315-679000000-0001,100g,g,100.0,100g,g,100.0
D315-679000000-0002,100g,g,100.0,100g,g,100.0
D315-680000000-0001,100g,g,100.0,100g,g,100.0
D315-681000000-0001,100g,g,100.0,100g,g,100.0
D315-682000000-0001,100g,g,100.0,100g,g,100.0
D315-683000000-0001,100g,g,100.0,100g,g,100.0
D316-686010000-0001,100g,g,100.0,100g,g,100.0
D403-188000000-0001,100ml,ml,100.0,350ml,ml,350.0
D314-635000000-0001,100g,g,100.0,400g,g,400.0
D314-637150000-0001,100g,g,100.0,100g,g,100.0
D314-639000000-0001,100g,g,100.0,100g,g,100.0
D314-640000000-0001,100g,g,100.0,486g,g,486.0
D314-640030000-0001,100g,g,100.0,100g,g,100.0
D314-640224600-0001,100g,g,100.0,100g,g,100.0
D314-641000000-0001,100g,g,100.0,150g,g,150.0
D314-645000000-0001,100g,g,100.0,100g,g,100.0
D314-645270000-0001,100g,g,100.0,100g,g,100.0
D314-652000000-0001,100g,g,100.0,100g,g,100.0
D314-656000000-0001,100g,g,100.0,100g,g,100.0
D314-661000000-0001,100g,g,100.0,200g,g,200.0
D314-662190000-0001,100g,g,100.0,300g,g,300.0
D315-663000000-0001,100g,g,100.0,100g,g,100.0
D315-664000000-0001,100g,g,100.0,50g,g,50.0
D315-664000000-0002,100g,g,100.0,,,
D315-665000000-0001,100g,g,100.0,,,
D315-666000000-0001,100g,g,100.0,100g,g,100.0
D403-187560000-0001,100ml,ml,100.0,578ml,ml,578.0
D313-579000000-0001,100g,g,100.0,50g,g,50.0
D313-583000000-0001,100g,g,100.0,100g,g,100.0
D313-591000000-0001,100g,g,100.0,150g,g,150.0
D313-596000000-0001,100g,g,100.0,50g,g,50.0
D314-607000000-0001,100g,g,100.0,100g,g,100.0
D314-612380000-0001,100g,g,100.0,150g,g,150.0
D314-613000000-0001,100g,g,100.0,150g,g,150.0
